TEAM,NO,PLAYER,PO,G,GS,MIN,MINPG,PTS,PPG,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,RPG,AS,APG,TO,ST,BS,BSR,F,FD,EFF,ID,YEAR,LEAGUE
SR渋谷,3,ファイ サンバ,C,19,0,169:55,8:56,61,3.2,25,64,39.1%,5,16,31.3%,6,9,66.7%,15,32,47,2.5,6,0.3,11,1,3,6,47,8,3,8485,2018,1
千葉,34,小野 龍猛,SF/PF,7,7,178:19,25:28,61,8.7,22,58,37.9%,7,19,36.8%,10,20,50.0%,4,17,21,3.0,8,1.1,10,2,0,0,8,15,5,8542,2018,1
栃木,24,栗原 貴宏,SF,18,10,302:14,16:47,60,3.3,21,59,35.6%,13,41,31.7%,5,8,62.5%,5,11,16,0.9,24,1.3,7,8,2,1,36,10,3,10845,2018,1
秋田,8,下山 大地,SG,11,0,166:10,15:06,60,5.5,23,78,29.5%,11,48,22.9%,3,5,60.0%,2,8,10,0.9,8,0.7,2,2,0,0,22,5,2,15818,2018,1
秋田,13,成田 正弘,PG,17,5,225:34,13:16,60,3.5,16,67,23.9%,9,41,22.0%,19,24,79.2%,6,20,26,1.5,23,1.4,16,14,0,5,33,15,3,10851,2018,1
富山,25,葛原 大智,SG,16,0,156:27,9:46,57,3.6,20,39,51.3%,11,21,52.4%,6,9,66.7%,4,16,20,1.3,5,0.3,12,3,0,4,14,7,3,8494,2018,1
新潟,18,森井 健太,PG,18,3,327:13,18:10,56,3.1,20,57,35.1%,3,21,14.3%,13,18,72.2%,11,23,34,1.9,53,2.9,14,12,2,6,33,20,6,8486,2018,1
琉球,11,須田 侑太郎,SG/SF,10,5,199:59,19:59,56,5.6,17,34,50.0%,7,16,43.8%,15,20,75.0%,11,16,27,2.7,8,0.8,5,4,0,2,19,18,7,8567,2018,1
秋田,7,野本 建吾,SF/PF,19,1,188:40,9:55,56,2.9,23,59,39.0%,0,5,0.0%,10,19,52.6%,12,24,36,1.9,16,0.8,18,10,0,8,27,20,3,8594,2018,1
三遠,11,岡田 慎吾,SG,19,11,368:35,19:23,56,2.9,24,64,37.5%,3,19,15.8%,5,6,83.3%,6,28,34,1.8,43,2.3,11,5,3,3,10,8,5,9311,2018,1
SR渋谷,22,長谷川 智也,SG,19,0,219:45,11:33,56,2.9,20,54,37.0%,12,33,36.4%,4,5,80.0%,0,11,11,0.6,12,0.6,8,3,0,2,27,11,2,9328,2018,1
福岡,6,小林 大祐,SG,10,6,181:11,18:07,56,5.6,19,61,31.1%,9,30,30.0%,9,14,64.3%,3,19,22,2.2,14,1.4,11,13,1,6,16,12,5,9337,2018,1
福岡,10,波多野 和也,SF/PF,19,0,168:10,8:51,55,2.9,22,60,36.7%,2,9,22.2%,9,10,90.0%,8,31,39,2.1,6,0.3,6,3,2,2,23,5,3,8597,2018,1
北海道,0,溝口 秀人,SG,15,0,127:44,8:30,55,3.7,19,49,38.8%,13,31,41.9%,4,8,50.0%,2,8,10,0.7,8,0.5,5,3,0,1,12,6,2,9495,2018,1
北海道,10,市岡 ショーン,PF,19,0,235:18,12:23,54,2.8,22,54,40.7%,0,1,0.0%,10,19,52.6%,24,41,65,3.4,14,0.7,9,11,7,2,45,17,5,8456,2018,1
三遠,1,ジョシュ・チルドレス,SF,2,2,70:54,35:27,53,26.5,18,31,58.1%,2,6,33.3%,15,17,88.2%,3,14,17,8.5,7,3.5,8,7,2,2,3,14,32,8662,2018,1
A東京,1,小島 元基,PG,12,0,170:31,14:12,53,4.4,15,32,46.9%,6,15,40.0%,17,23,73.9%,3,6,9,0.8,23,1.9,5,1,1,1,11,19,5,8470,2018,1
SR渋谷,0,満原 優樹,PF/C,19,8,255:04,13:25,53,2.8,23,61,37.7%,4,17,23.5%,3,5,60.0%,17,49,66,3.5,12,0.6,11,5,2,2,33,9,5,10844,2018,1
秋田,55,谷口 大智,PF/C,18,0,146:33,8:08,53,2.9,19,64,29.7%,11,45,24.4%,4,6,66.7%,6,16,22,1.2,11,0.6,8,7,1,1,26,6,2,8568,2018,1
名古屋D,3,満田 丈太郎,SG/SF,19,0,165:14,8:41,52,2.7,20,43,46.5%,10,23,43.5%,2,4,50.0%,4,9,13,0.7,10,0.5,9,5,2,1,10,3,3,9032,2018,1
三遠,15,鈴木 達也,PG,11,9,243:39,22:09,52,4.7,20,48,41.7%,9,22,40.9%,3,4,75.0%,3,20,23,2.1,59,5.4,24,2,0,2,15,12,8,8459,2018,1
A東京,13,菊地 祥平,SF,18,18,282:58,15:43,49,2.7,16,42,38.1%,4,10,40.0%,13,19,68.4%,4,32,36,2.0,25,1.4,14,8,0,2,40,23,4,9319,2018,1
京都,33,内海 慎吾,SG,19,1,364:56,19:12,48,2.5,13,43,30.2%,12,41,29.3%,10,11,90.9%,4,22,26,1.4,12,0.6,7,12,2,2,32,6,3,8768,2018,1
福岡,41,加納 誠也,SF/PF,19,9,286:07,15:03,48,2.5,15,46,32.6%,8,25,32.0%,10,15,66.7%,9,34,43,2.3,19,1.0,15,6,1,6,30,32,3,8479,2018,1
富山,8,山田 大治,PF,17,1,236:03,13:53,47,2.8,20,54,37.0%,0,1,0.0%,7,8,87.5%,4,18,22,1.3,22,1.3,20,1,6,5,22,10,3,8510,2018,1
名古屋D,6,菊池 真人,PF,19,0,171:02,9:00,45,2.4,15,42,35.7%,8,21,38.1%,7,8,87.5%,10,14,24,1.3,10,0.5,5,8,7,1,39,12,3,8512,2018,1
三河,12,西川 貴之,SF,17,7,262:28,15:26,44,2.6,18,57,31.6%,5,24,20.8%,3,7,42.9%,1,30,31,1.8,13,0.8,5,8,2,4,13,13,3,9317,2018,1
北海道,23,野口 大介,PF,18,2,167:04,9:16,44,2.4,17,47,36.2%,7,28,25.0%,3,7,42.9%,3,18,21,1.2,9,0.5,9,5,8,1,18,6,2,8650,2018,1
福岡,24,石谷 聡,PG,19,9,292:44,15:24,44,2.3,19,55,34.5%,3,13,23.1%,3,5,60.0%,5,26,31,1.6,51,2.7,17,6,0,3,18,19,4,9329,2018,1
栃木,0,田臥 勇太,PG,6,6,125:59,20:59,43,7.2,16,30,53.3%,0,2,0.0%,11,12,91.7%,4,6,10,1.7,22,3.7,3,4,0,1,7,14,10,18167,2018,1
新潟,16,渡辺 竜之佑,PG/SG,9,7,170:36,18:57,40,4.4,19,34,55.9%,0,3,0.0%,2,5,40.0%,16,30,46,5.1,8,0.9,9,6,3,4,17,7,8,10880,2018,1
名古屋D,13,笠井 康平,PG,16,0,119:54,7:29,36,2.3,14,37,37.8%,6,21,28.6%,2,2,100.0%,4,9,13,0.8,9,0.6,1,2,0,2,21,7,2,8719,2018,1
北海道,17,川邉 亮平,SF,16,1,174:32,10:54,36,2.3,13,45,28.9%,3,19,15.8%,7,9,77.8%,7,14,21,1.3,13,0.8,8,6,0,4,13,8,2,14301,2018,1
横浜,2,高島 一貴,SG,19,7,155:31,8:11,36,1.9,16,38,42.1%,2,5,40.0%,2,2,100.0%,13,7,20,1.1,8,0.4,4,5,2,0,18,6,2,8446,2018,1
A東京,2,齋藤 拓実,PG,8,0,102:28,12:48,35,4.4,14,29,48.3%,2,8,25.0%,5,6,83.3%,4,4,8,1.0,18,2.3,4,5,0,0,15,9,6,10297,2018,1
SR渋谷,7,伊藤 駿,PG,18,9,268:10,14:53,35,1.9,15,43,34.9%,1,8,12.5%,4,4,100.0%,3,12,15,0.8,35,1.9,10,8,0,0,21,6,3,15816,2018,1
栃木,11,田原 隆徳,SG,16,0,90:38,5:39,34,2.1,13,30,43.3%,6,17,35.3%,2,4,50.0%,2,9,11,0.7,5,0.3,2,5,1,2,14,3,2,8688,2018,1
川崎,3,林 翔太郎,SF,17,0,182:05,10:42,34,2.0,14,32,43.8%,5,14,35.7%,1,2,50.0%,1,16,17,1.0,6,0.4,10,4,6,0,16,2,2,8595,2018,1
大阪,15,根来 新之助,SF/PF,17,0,88:34,5:12,30,1.8,11,32,34.4%,3,16,18.8%,5,9,55.6%,9,6,15,0.9,2,0.1,6,3,0,3,12,8,1,9321,2018,1
三河,24,加藤 寿一,SG,16,11,174:19,10:53,30,1.9,12,23,52.2%,6,13,46.2%,0,0,0.0%,2,15,17,1.1,7,0.4,1,8,1,1,27,0,3,9345,2018,1
滋賀,1,西 裕太郎,PG,10,0,70:57,7:05,29,2.9,10,26,38.5%,5,13,38.5%,4,7,57.1%,1,7,8,0.8,18,1.8,3,5,0,1,8,6,4,9488,2018,1
秋田,28,ニカ・ウィリアムス,C,2,1,42:00,21:00,27,13.5,11,22,50.0%,0,0,0.0%,5,9,55.6%,5,4,9,4.5,2,1.0,4,0,1,3,8,9,10,18473,2018,1
大阪,22,ジャマール・ソープ,SF/PF,6,0,84:57,14:09,27,4.5,8,29,27.6%,0,7,0.0%,11,18,61.1%,3,12,15,2.5,2,0.3,6,1,0,5,11,12,2,9405,2018,1
横浜,11,プリンス・イベ,C,5,5,123:04,24:36,26,5.2,12,27,44.4%,0,0,0.0%,2,15,13.3%,11,25,36,7.2,2,0.4,12,5,10,1,18,15,8,8552,2018,1
三河,9,森川 正明,SF,13,1,63:02,4:50,25,1.9,10,16,62.5%,3,3,100.0%,2,4,50.0%,3,4,7,0.5,2,0.2,4,2,0,0,4,2,2,18399,2018,1
三遠,7,渡邊 翔太,PG,11,0,99:55,9:05,24,2.2,11,26,42.3%,0,6,0.0%,2,6,33.3%,1,8,9,0.8,4,0.4,8,4,0,2,15,9,1,8514,2018,1
大阪,2,長野 誠史,PG,15,0,64:52,4:19,24,1.6,10,28,35.7%,4,17,23.5%,0,0,0.0%,1,3,4,0.3,2,0.1,6,7,0,0,9,0,1,8840,2018,1
琉球,0,石崎 巧,PG/SG,15,0,88:30,5:54,24,1.6,8,30,26.7%,5,18,27.8%,3,4,75.0%,1,9,10,0.7,10,0.7,8,3,0,1,7,5,1,18461,2018,1
琉球,21,寒竹 隼人,SF/PF,9,0,31:14,3:28,22,2.4,8,12,66.7%,6,10,60.0%,0,1,0.0%,1,5,6,0.7,0,0.0,3,0,0,0,6,1,2,10821,2018,1
京都,20,岸田 篤生,PG,11,0,68:29,6:13,22,2.0,8,23,34.8%,3,11,27.3%,3,3,100.0%,0,4,4,0.4,10,0.9,13,2,0,4,10,8,1,8739,2018,1
横浜,6,中村 太地,PG,8,0,46:46,5:50,22,2.8,7,25,28.0%,4,16,25.0%,4,8,50.0%,1,1,2,0.3,2,0.3,5,2,0,1,6,6,0,8582,2018,1
名古屋D,18,中務 敏宏,SG/SF,15,0,93:49,6:15,20,1.3,6,27,22.2%,3,21,14.3%,5,6,83.3%,4,8,12,0.8,6,0.4,3,2,0,0,6,7,1,8584,2018,1
滋賀,25,荒尾 岳,PF,19,2,292:32,15:23,20,1.1,10,28,35.7%,0,0,0.0%,0,2,0.0%,12,29,41,2.2,13,0.7,8,4,3,3,46,6,3,8457,2018,1
千葉,31,原 修太,SG/SF,12,0,109:46,9:08,20,1.7,8,20,40.0%,4,10,40.0%,0,2,0.0%,0,6,6,0.5,3,0.3,7,5,1,1,18,4,1,8684,2018,1
三河,8,村上 直,PG,14,0,94:21,6:44,19,1.4,7,19,36.8%,0,4,0.0%,5,7,71.4%,0,10,10,0.7,13,0.9,8,2,1,1,9,6,2,15757,2018,1
横浜,7,橋本 尚明,SG,14,0,125:21,8:57,17,1.2,7,39,17.9%,2,23,8.7%,1,2,50.0%,2,9,11,0.8,7,0.5,4,4,0,1,9,4,0,8720,2018,1
新潟,14,石井 峻平,SG/SF,12,1,83:35,6:57,17,1.4,6,25,24.0%,4,15,26.7%,1,2,50.0%,2,8,10,0.8,2,0.2,2,0,0,1,11,4,1,8730,2018,1
横浜,25,竹田 謙,SG,19,3,149:53,7:53,17,0.9,7,21,33.3%,1,7,14.3%,2,3,66.7%,3,10,13,0.7,14,0.7,5,6,0,0,11,9,2,8598,2018,1
SR渋谷,1,清水 太志郎,PG/SG,16,0,84:30,5:16,15,0.9,6,21,28.6%,3,11,27.3%,0,0,0.0%,2,3,5,0.3,8,0.5,3,2,0,1,10,1,1,18479,2018,1
秋田,33,俊野 達彦,PG/SG,10,1,95:46,9:34,13,1.3,6,30,20.0%,1,10,10.0%,0,4,0.0%,2,4,6,0.6,11,1.1,8,2,0,2,14,2,-0,18441,2018,1
三河,3,ケネディ・ミークス,PF,1,1,39:56,39:56,13,13.0,4,9,44.4%,0,1,0.0%,5,9,55.6%,2,6,8,8.0,5,5.0,5,2,2,1,2,8,16,8489,2018,1
千葉,7,トレイ・ジョーンズ,SF,1,1,36:45,36:45,13,13.0,4,10,40.0%,1,2,50.0%,4,4,100.0%,1,4,5,5.0,1,1.0,3,1,1,1,1,2,12,9029,2018,1
川崎,18,鎌田 裕也,PF/C,16,0,121:19,7:34,13,0.8,5,23,21.7%,2,8,25.0%,1,2,50.0%,6,14,20,1.3,3,0.2,4,1,0,2,11,2,1,18475,2018,1
A東京,7,正中 岳城,SG,8,0,45:22,5:40,12,1.5,4,9,44.4%,3,6,50.0%,1,1,100.0%,0,2,2,0.3,2,0.3,1,1,0,0,6,2,1,8713,2018,1
三河,30,岡田 侑大,PG/SG,3,0,27:34,9:11,11,3.7,4,12,33.3%,1,5,20.0%,2,4,50.0%,1,3,4,1.3,1,0.3,4,2,1,2,2,4,2,8677,2018,1
横浜,5,湊谷 安玲久司朱,SG,6,0,37:55,6:19,10,1.7,4,11,36.4%,2,2,100.0%,0,0,0.0%,1,2,3,0.5,1,0.2,2,1,0,1,4,2,1,9423,2018,1
三遠,21,菅野 翔太,SF,12,0,43:18,3:36,9,0.8,3,13,23.1%,2,10,20.0%,1,2,50.0%,0,7,7,0.6,2,0.2,0,0,0,0,4,2,1,9341,2018,1
富山,13,比留木 謙司,PF,9,0,59:01,6:33,9,1.0,1,4,25.0%,0,0,0.0%,7,8,87.5%,1,6,7,0.8,1,0.1,8,1,1,1,14,6,1,9313,2018,1
京都,13,近 忍,SF,9,0,34:07,3:47,9,1.0,3,11,27.3%,1,6,16.7%,2,4,50.0%,0,3,3,0.3,0,0.0,2,2,1,0,1,3,0,10262,2018,1
福岡,8,薦田 拓也,SF,6,3,40:00,6:40,9,1.5,4,8,50.0%,1,2,50.0%,0,0,0.0%,1,6,7,1.2,1,0.2,6,2,0,0,5,1,2,8736,2018,1
京都,45,頓宮 裕人,PF/C,15,0,56:50,3:47,8,0.5,4,10,40.0%,0,0,0.0%,0,0,0.0%,3,5,8,0.5,0,0.0,3,0,0,2,10,6,0,18171,2018,1
千葉,15,藤永 佳昭,PG,13,0,96:19,7:24,8,0.6,3,10,30.0%,1,4,25.0%,1,4,25.0%,2,4,6,0.5,10,0.8,3,5,0,0,13,7,1,10873,2018,1
滋賀,10,紺野 ニズベット 翔,SG/SF,9,0,67:34,7:30,8,0.9,3,10,30.0%,0,0,0.0%,2,4,50.0%,2,10,12,1.3,2,0.2,4,2,0,3,13,3,1,8614,2018,1
横浜,81,小原 翼,PF,18,0,64:49,3:36,8,0.4,3,9,33.3%,1,1,100.0%,1,1,100.0%,2,8,10,0.6,0,0.0,5,2,1,1,14,2,1,8653,2018,1
北海道,2,山本 柊輔,PG,12,0,44:58,3:44,7,0.6,2,9,22.2%,1,3,33.3%,2,3,66.7%,0,1,1,0.1,9,0.8,4,1,0,2,5,4,1,12637,2018,1
千葉,8,大宮 宏正,PF,6,0,17:07,2:51,7,1.2,3,6,50.0%,0,2,0.0%,1,2,50.0%,0,0,0,0.0,1,0.2,2,1,0,0,1,1,1,8544,2018,1
横浜,10,ハンター・コート,PG,10,0,40:26,4:02,6,0.6,2,8,25.0%,0,3,0.0%,2,2,100.0%,0,5,5,0.5,5,0.5,4,4,0,1,4,2,1,10885,2018,1
秋田,15,下山 貴裕,PF,18,0,99:32,5:31,6,0.3,3,15,20.0%,0,0,0.0%,0,0,0.0%,9,9,18,1.0,5,0.3,5,2,1,3,29,0,1,8652,2018,1
福岡,15,青木 ブレイク,PF/C,10,0,62:24,6:14,6,0.6,3,14,21.4%,0,0,0.0%,0,0,0.0%,0,5,5,0.5,4,0.4,4,2,2,0,12,0,0,8465,2018,1
琉球,6,金城　茂之,SG/SF,10,0,40:28,4:02,5,0.5,1,8,12.5%,1,4,25.0%,2,2,100.0%,2,5,7,0.7,3,0.3,0,2,0,0,3,1,1,8554,2018,1
滋賀,22,樋口 大倫,PF,5,0,19:50,3:58,4,0.8,2,7,28.6%,0,0,0.0%,0,0,0.0%,1,1,2,0.4,0,0.0,2,1,0,2,2,2,0,15817,2018,1
SR渋谷,2,秋葉 真司,SG,3,0,6:26,2:08,3,1.0,0,0,0.0%,0,0,0.0%,3,4,75.0%,0,1,1,0.3,0,0.0,0,0,0,0,1,2,1,9035,2018,1
川崎,4,青木 保憲,PG,13,0,36:28,2:48,2,0.2,1,8,12.5%,0,3,0.0%,0,0,0.0%,1,3,4,0.3,3,0.2,2,1,0,1,1,0,0,18452,2018,1
栃木,12,アンドリュー・ネイミック,C,1,1,15:10,15:10,2,2.0,1,1,100.0%,0,0,0.0%,0,0,0.0%,0,2,2,2.0,0,0.0,2,0,1,0,4,0,3,8488,2018,1
栃木,25,エリック・ロバーツ,SG,8,0,12:21,1:32,2,0.3,1,3,33.3%,0,1,0.0%,0,2,0.0%,0,2,2,0.3,1,0.1,3,1,0,0,5,1,-0,9318,2018,1
川崎,15,谷口 光貴,SG/SF,0,0,0:20,0,0,0.0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,15849,2018,1
富山,31,青野 文彦,C,3,0,13:05,4:21,0,0.0,0,2,0.0%,0,0,0.0%,0,0,0.0%,3,0,3,1.0,3,1.0,3,1,0,0,2,1,1,8641,2018,1
三遠,12,ダシルバ　ヒサシ,SG,1,0,1:18,1:18,0,0.0,0,1,0.0%,0,1,0.0%,0,0,0.0%,0,0,0,0.0,0,0.0,0,0,0,0,0,0,-1,-1,2018,1
新潟,2,山口 祐希,PG,9,0,17:07,1:54,0,0.0,0,1,0.0%,0,1,0.0%,0,0,0.0%,0,1,1,0.1,2,0.2,2,1,0,0,2,0,0,-1,2018,1
TEAM,NO,PLAYER,PO,G,GS,MIN,MINPG,PTS,PPG,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,RPG,AS,APG,TO,ST,BS,BSR,F,FD,EFF,-1,2018,1
群馬,1,トーマス・ケネディ,SF/PF,19,19,684:05,36:00,491,25.8,187,377,49.6%,36,112,32.1%,81,91,89.0%,33,113,146,7.7,69,3.6,37,32,8,5,54,78,27,8608,2018,2
愛媛,10,アンドリュー・フィッツジェラルド,PF,19,19,652:42,34:21,489,25.7,204,398,51.3%,0,4,0.0%,81,114,71.1%,76,141,217,11.4,47,2.5,29,14,12,18,60,100,28,9433,2018,2
青森,2,カレン・ルッソ,SF/PF,18,18,694:19,38:34,427,23.7,155,346,44.8%,36,132,27.3%,81,116,69.8%,40,142,182,10.1,78,4.3,74,43,19,3,50,106,25,18400,2018,2
FE名古屋,41,ギャレット・スタツ,C,18,18,609:11,33:50,409,22.7,166,272,61.0%,5,17,29.4%,72,96,75.0%,68,191,259,14.4,79,4.4,43,5,12,7,51,84,33,12641,2018,2
東京Z,2,ウィル・クリークモア,PF/C,19,19,655:25,34:29,400,21.1,149,327,45.6%,36,103,35.0%,66,98,67.3%,48,141,189,9.9,66,3.5,38,11,8,9,55,104,22,9071,2018,2
香川,30,テレンス・ウッドベリー,SG/SF,18,17,623:33,34:38,399,22.2,142,266,53.4%,27,76,35.5%,88,103,85.4%,15,117,132,7.3,95,5.3,53,19,3,10,38,104,25,10831,2018,2
FE名古屋,24,ジョシュ・ホーキンソン,PF/C,17,17,619:10,36:25,386,22.7,137,250,54.8%,26,71,36.6%,86,110,78.2%,35,160,195,11.5,43,2.5,24,8,11,8,31,102,28,12598,2018,2
信州,50,ウェイン・マーシャル,C,17,17,549:56,32:20,367,21.6,134,229,58.5%,19,48,39.6%,80,97,82.5%,34,128,162,9.5,34,2.0,27,24,46,15,46,99,29,8843,2018,2
福島,30,イバン・ラベネル,PF,18,18,564:48,31:22,357,19.8,148,273,54.2%,15,45,33.3%,46,64,71.9%,42,124,166,9.2,58,3.2,52,11,10,11,67,80,23,10823,2018,2
広島,0,ジャマリ・トレイラー,PF/C,19,19,679:08,35:44,356,18.7,141,254,55.5%,1,4,25.0%,73,103,70.9%,68,143,211,11.1,46,2.4,49,39,33,14,59,99,26,15852,2018,2
金沢,1,デンゼル・ボウルズ,PF,19,19,602:48,31:43,356,18.7,147,268,54.9%,0,1,0.0%,62,80,77.5%,47,169,216,11.4,51,2.7,50,7,9,17,53,77,24,18435,2018,2
山形,23,ウィル・ヘンリー,SF/PF,19,19,650:17,34:13,351,18.5,146,290,50.3%,17,48,35.4%,42,68,61.8%,61,174,235,12.4,84,4.4,53,27,3,22,46,69,25,18176,2018,2
島根,8,グレゴリー・エチェニケ,C,17,17,601:07,35:21,349,20.5,144,213,67.6%,0,0,0.0%,61,86,70.9%,95,154,249,14.6,43,2.5,46,11,36,5,43,74,32,18432,2018,2
信州,55,アンソニー・マクヘンリー,PF/C,18,18,628:52,34:56,346,19.2,128,231,55.4%,29,56,51.8%,61,88,69.3%,38,137,175,9.7,91,5.1,37,30,21,2,42,84,28,8651,2018,2
仙台,1,タイラー・ハリス,PF,15,15,480:55,32:03,333,22.2,132,246,53.7%,2,17,11.8%,67,108,62.0%,44,118,162,10.8,47,3.1,56,16,7,12,51,84,24,18438,2018,2
八王子,52,アレクサンダー・ジョーンズ,C,16,16,509:08,31:49,330,20.6,133,246,54.1%,0,3,0.0%,64,87,73.6%,73,115,188,11.8,34,2.1,26,19,4,12,46,91,26,9261,2018,2
広島,2,朝山 正悟,SG/SF,19,19,631:03,33:12,320,16.8,106,232,45.7%,40,96,41.7%,68,83,81.9%,9,43,52,2.7,46,2.4,33,13,1,6,38,69,14,8534,2018,2
熊本,23,チェハーレス・タプスコット,SF/PF,17,17,564:37,33:12,313,18.4,123,265,46.4%,15,55,27.3%,52,66,78.8%,60,89,149,8.8,78,4.6,27,22,12,8,42,53,23,9340,2018,2
熊本,8,ジョシュ・ドゥインカー,PF,16,16,526:41,32:55,310,19.4,120,259,46.3%,28,73,38.4%,42,49,85.7%,33,133,166,10.4,44,2.8,25,7,5,9,36,50,23,12590,2018,2
西宮,2,ドゥレイロン・バーンズ,SG/SF,18,18,670:38,37:15,300,16.7,98,256,38.3%,43,130,33.1%,61,74,82.4%,25,115,140,7.8,128,7.1,36,37,5,2,49,82,22,10256,2018,2
奈良,4,ジェフリー・パーマー,PF,18,18,660:09,36:40,291,16.2,100,229,43.7%,23,83,27.7%,68,98,69.4%,28,112,140,7.8,53,2.9,37,33,17,5,42,102,19,9398,2018,2
西宮,13,道原 紀晃,PG/SG,19,18,584:45,30:46,287,15.1,104,210,49.5%,37,68,54.4%,42,51,82.4%,22,49,71,3.7,65,3.4,27,17,1,6,41,53,16,8538,2018,2
愛媛,3,コーリー・ジョンソン,PF,14,7,475:48,33:59,279,19.9,105,193,54.4%,17,56,30.4%,52,64,81.3%,44,113,157,11.2,31,2.2,27,13,1,3,37,71,25,18377,2018,2
群馬,31,アブドゥーラ・クウソー,C,18,18,586:15,32:34,273,15.2,100,207,48.3%,0,0,0.0%,73,106,68.9%,82,128,210,11.7,57,3.2,44,23,44,9,60,97,24,9411,2018,2
茨城,21,コナー・ラマート,PF,17,16,554:57,32:38,273,16.1,113,207,54.6%,29,73,39.7%,18,27,66.7%,38,148,186,10.9,38,2.2,19,12,21,0,34,38,24,9089,2018,2
西宮,9,谷 直樹,SF,19,19,628:58,33:06,265,13.9,94,228,41.2%,36,97,37.1%,41,47,87.2%,20,52,72,3.8,46,2.4,35,16,2,7,46,50,12,8536,2018,2
青森,27,ユリアス・ユツィカス,PF/C,15,15,460:22,30:41,258,17.2,106,209,50.7%,12,34,35.3%,34,50,68.0%,27,81,108,7.2,24,1.6,44,18,16,12,54,52,17,18401,2018,2
香川,2,レジナルド・ウォーレン,PF/C,15,15,548:26,36:33,257,17.1,108,238,45.4%,14,49,28.6%,27,76,35.5%,47,157,204,13.6,61,4.1,26,12,12,13,36,69,23,9388,2018,2
島根,18,相馬 卓弥,SG,19,19,547:11,28:47,241,12.7,88,204,43.1%,38,85,44.7%,27,31,87.1%,13,53,66,3.5,97,5.1,38,19,4,8,32,34,14,8683,2018,2
信州,11,石川 海斗,PG,19,19,539:19,28:23,239,12.6,82,194,42.3%,33,99,33.3%,42,58,72.4%,7,34,41,2.2,113,5.9,34,17,0,2,32,63,13,8722,2018,2
東京Z,1,増子 匠,SF,19,19,599:58,31:34,238,12.5,80,208,38.5%,39,111,35.1%,39,49,79.6%,6,34,40,2.1,88,4.6,40,35,0,7,45,57,12,9064,2018,2
金沢,3,ライアン・リード,PF,19,17,563:00,29:37,237,12.5,101,220,45.9%,1,10,10.0%,34,47,72.3%,38,130,168,8.8,51,2.7,56,19,13,9,62,45,16,8845,2018,2
熊本,2,古野 拓巳,PG,19,19,620:44,32:40,236,12.4,74,194,38.1%,33,109,30.3%,55,69,79.7%,7,69,76,4.0,141,7.4,49,32,3,2,60,69,16,9348,2018,2
八王子,77,大金 広弥,PG,19,19,585:05,30:47,235,12.4,89,214,41.6%,27,73,37.0%,30,40,75.0%,12,49,61,3.2,57,3.0,28,25,1,7,44,40,11,9262,2018,2
福島,43,クリス・ブレディ,C,19,17,534:07,28:06,234,12.3,99,179,55.3%,5,15,33.3%,31,45,68.9%,45,133,178,9.4,35,1.8,36,10,18,4,60,39,18,18402,2018,2
熊本,13,俊野 佳彦,SG/SF,19,14,500:30,26:20,229,12.1,69,175,39.4%,32,75,42.7%,59,66,89.4%,7,38,45,2.4,37,1.9,19,11,0,8,43,49,10,8599,2018,2
仙台,5,ダニエル・ミラー,C,18,18,631:10,35:03,228,12.7,92,150,61.3%,0,0,0.0%,44,56,78.6%,57,139,196,10.9,62,3.4,37,18,26,4,44,64,24,9392,2018,2
東京Z,11,ナイジェル・スパイクス,PF/C,17,17,512:39,30:09,226,13.3,90,174,51.7%,0,0,0.0%,46,75,61.3%,61,115,176,10.4,39,2.3,44,23,37,10,56,72,20,9332,2018,2
茨城,25,平尾 充庸,PG,19,19,577:20,30:23,226,11.9,75,166,45.2%,24,63,38.1%,52,62,83.9%,11,28,39,2.1,86,4.5,22,16,1,7,39,51,13,8561,2018,2
八王子,11,ルブライアン・ナッシュ,SF,11,11,342:55,31:10,217,19.7,78,164,47.6%,11,33,33.3%,50,73,68.5%,22,68,90,8.2,40,3.6,30,15,17,6,35,80,22,18404,2018,2
山形,1,中島 良史,PG/SG,19,17,551:02,29:00,214,11.3,72,147,49.0%,24,61,39.3%,46,57,80.7%,12,40,52,2.7,85,4.5,41,12,0,6,40,59,12,8767,2018,2
山形,7,古橋 広樹,SG/SF,19,16,470:53,24:47,208,10.9,78,183,42.6%,34,94,36.2%,18,29,62.1%,8,46,54,2.8,43,2.3,20,16,6,7,34,34,10,8669,2018,2
茨城,33,カール・バプティスト,PF,11,11,327:32,29:46,205,18.6,80,151,53.0%,6,20,30.0%,39,53,73.6%,26,82,108,9.8,14,1.3,29,7,14,5,27,51,21,18378,2018,2
島根,25,ロスコ・アレン,SF,10,10,345:59,34:35,205,20.5,72,155,46.5%,13,42,31.0%,48,62,77.4%,20,61,81,8.1,59,5.9,24,14,3,5,22,55,24,18433,2018,2
奈良,2,ゲイリー・ハミルトン,C,18,18,646:58,35:56,203,11.3,94,191,49.2%,0,0,0.0%,15,30,50.0%,56,203,259,14.4,131,7.3,72,22,13,3,41,38,25,9456,2018,2
